カテゴリ,管理番号,施設名,郵便番号,所在地,法人・団体名,開設年月日,有効開始日,有効終了日
店舗販売業,30074-350,ニコニコ薬店,520-3105,湖南市石部西一丁目３－４,,,2023-01-01,2028-12-31
店舗販売業,30309-350,健康相談処たつおか,528-0235,甲賀市土山町大野４９５８－１,,,2022-01-01,2027-12-31
店舗販売業,30366-350,平和堂薬品　アル・プラザ水口,528-0037,甲賀市水口町本綾野５６６－１,株式会社平和堂,,2021-01-01,2026-12-31
店舗販売業,30380-350,ドラッグユタカ　信楽店,529-1835,甲賀市信楽町長野１２８０－３,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,30399-350,ドラッグユタカ　水口店,528-0037,甲賀市水口町本綾野２－２,株式会社ユタカファーマシー,,2021-01-01,2026-12-31
店舗販売業,30566-350,ドラッグユタカ　甲南店,520-3313,甲賀市甲南町新治２０２７,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,30567-350,ドラッグユタカ　土山店,528-0235,甲賀市土山町大野４９４６－１,株式会社ユタカファーマシー,,2021-01-01,2026-12-31
店舗販売業,30573-350,カインズ　甲賀店,528-0056,甲賀市水口町泉１４０５,株式会社カインズ,,2021-01-01,2026-12-31
店舗販売業,30631-350,クスリキリン堂　甲南町店,520-3311,甲賀市甲南町竜法師３３８－３　フレンドタウン甲賀,株式会社キリン堂,,2021-01-01,2026-12-31
店舗販売業,30655-350,ドラッグユタカ　水口暁店,528-0012,甲賀市水口町暁５１３３,株式会社ユタカファーマシー,,2021-01-01,2026-12-31
店舗販売業,30697-350,西友水口店薬売場,528-0005,甲賀市水口町水口６０８４－１,株式会社西友,,2023-01-01,2028-12-31
店舗販売業,30699-350,日新薬品工業株式会社,520-3426,甲賀市甲賀町田堵野８０－１,日新薬品工業株式会社,,2023-01-01,2028-12-31
店舗販売業,30715-350,こぶけ薬品,528-0017,甲賀市水口町京町６－１,,,2024-01-01,2029-12-31
店舗販売業,30716-350,こぶけ薬品,528-0042,甲賀市水口町虫生野中央９０,,,2024-01-01,2029-12-31
店舗販売業,30722-350,スギドラッグ　甲西店,520-3252,湖南市岩根３６７,株式会社スギ薬局,,2024-01-01,2029-12-31
店舗販売業,30735-350,株式会社大正堂,528-0028,甲賀市水口町城東３－３８,株式会社大正堂,,2025-01-01,2030-12-31
店舗販売業,30744-350,ツルハドラッグ　菩提寺店,520-3242,湖南市菩提寺西三丁目１１－１３,株式会社ツルハ,,2025-01-01,2030-12-31
店舗販売業,30758-350,ウエルシア甲賀水口貴生川店,528-0049,甲賀市水口町貴生川二丁目６２,ウエルシア薬局株式会社,,2026-01-01,2031-12-31
店舗販売業,30766-350,ザ・ビッグエクストラ湖南店ドラッグ,520-3252,湖南市岩根４５８０,イオンビッグ株式会社,,2026-01-01,2031-12-31
