施設名,施設郵便,施設住所,法人・団体名,施設番号,許可日,当初許可日,業種,種目主,種目従,満了日,条件1,条件2,条件3,条件4
酒と肴と招き猫,529-0354,長浜市湖北町山本３００３,,707002101,R05/07/01,R05/07/01,※飲食店営業,一般食堂,,R11/06/30,,,,
ミッチードーナツ,526-0042,長浜市勝町４０１－１,,707012111,R06/03/01,R06/03/01,※菓子製造業,パン製造,あん製造,R12/02/28,,,,
茉莉花,526-0057,長浜市北船町３－２４　えきまちテラス長浜　２Ｆ,,707014101,R06/03/01,R06/03/01,※飲食店営業,簡易な営業,,R12/02/28,,,,
ＡＭＡＺＥ,526-0021,長浜市八幡中山町２５１－１　コルドンブルー　２Ｆ,,707016101,R05/07/01,R05/07/01,※飲食店営業,簡易な営業,,R11/06/30,簡易な営業に限る,,,
秋元の餃子,526-0057,長浜市北船町１－１５　モンデクール長浜店　２Ｆ（フードコート）,,707017101,R07/03/01,R07/03/01,※飲食店営業,一般食堂,,R13/02/28,,,,
ＩＴＴＯＫＵ　２ｎｄ　Ａｖｅ．,526-0057,長浜市北船町３－２４　えきまちテラス１Ｆ　１０５,,707028101,R06/03/01,R06/03/01,※飲食店営業,一般食堂,,R12/02/28,,,,
５ ～ｆｉｖｅ～,526-0037,長浜市高田町２－１２　ギャザショップ皆美２Ｆ,,707029101,R06/03/01,R06/03/01,※飲食店営業,簡易な営業,,R12/02/28,,,,
掌山,526-0234,長浜市相撲庭町７１５,,707032124,R06/07/01,R06/07/01,※麺類製造業,生めん製造,,R12/06/30,,,,
さかもと,526-0033,長浜市平方町９８－４,,707041101,R06/03/01,R06/03/01,※飲食店営業,一般食堂,,R12/02/28,,,,
焼肉だいにんぐ　和ＳＡＢＩ,526-0847,長浜市山階町２６２－１,株式会社ＳＴフーズプロジェクト,707042101,R07/07/01,R07/07/01,※飲食店営業,一般食堂,,R14/06/30,,,,
気まぐれ　ｃａｆｅ,526-0054,長浜市大宮町８－４,,707044101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
長浜くらしノートストア　チャレンジショップ１,526-0057,長浜市北船町３－２４　えきまちテラス長浜１Ｆ,えきまち長浜株式会社,707047101,R06/03/01,R06/03/01,※飲食店営業,一般食堂,,R12/02/28,,,,
長浜くらしノートストア　チャレンジショップ１,526-0057,長浜市北船町３－２４　えきまちテラス長浜１Ｆ,えきまち長浜株式会社,707047111,R07/03/01,R07/03/01,※菓子製造業,菓子製造,パン製造,R13/02/28,,,,
茂美志屋めん工房,526-0059,長浜市元浜町７－２１,株式会社茂美志屋喜八郎,707055124,R06/03/01,R06/03/01,※麺類製造業,生めん製造,,R12/02/28,,,,
株式会社山月　長浜東店,526-0845,長浜市小堀町４４２,株式会社山月,707068101,R06/07/01,R06/07/01,※飲食店営業,弁当屋,,R12/06/30,,,,
手づくり工房　木之本塾,529-0425,長浜市木之本町木之本１０４７,,707071101,R06/07/01,R06/07/01,※飲食店営業,一般食堂,弁当屋,R12/06/30,,,,
茂美志屋,526-0059,長浜市元浜町７－１５,株式会社茂美志屋喜八郎,707073101,R06/03/01,R06/03/01,※飲食店営業,一般食堂,"そうざい,弁当屋",R12/02/28,,,,
茂美志屋,526-0059,長浜市元浜町７－１５,株式会社茂美志屋喜八郎,707073111,R08/03/01,R08/03/01,※菓子製造業,菓子製造,,R14/02/29,,,,
氣楽,526-0056,長浜市朝日町４－６　旭ビル１階１０１,,707074101,R06/03/01,R06/03/01,※飲食店営業,簡易な営業,,R12/02/28,,,,
フレンドマート湖北店　青果部菓子製造場,529-0331,長浜市湖北町八日市１０１１,株式会社平和堂,707075111,R06/07/01,R06/07/01,※菓子製造業,菓子製造,,R12/06/30,,,,
ひっぱりだこ　滋賀４８０て７６８０,,滋賀県一円（大津市の区域を除く）,,707079101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R10/02/29,自動車による営業に限る,申請のあった取扱品目に限る,簡単な調理加工行為に限る,加熱調理食品の提供に限る
産直びわみずべの里,526-0113,長浜市南浜町２９７,農事組合法人　産直びわみずべの里,707080125,R06/07/01,R06/07/01,※そうざい製造業,そうざい製造,"弁当製造,そう漬物",R12/06/30,,,,
甲津原交流センター,521-0301,米原市甲津原１７５３,農事組合法人甲津原営農組合,707083111,R05/11/01,R05/11/01,※菓子製造業,菓子製造,,R11/10/31,,,,
甲津原交流センター,521-0301,米原市甲津原１７５３,農事組合法人甲津原営農組合,707083120,R05/11/01,R05/11/01,※みそ又はしょうゆ製造業,みそ製造,,R11/10/31,,,,
甲津原交流センター,521-0301,米原市甲津原１７５３,農事組合法人甲津原営農組合,707083125,R05/11/01,R05/11/01,※そうざい製造業,そうざい製造,漬物製造,R11/10/31,,,,
甲津原交流センター,521-0301,米原市甲津原１７５３,農事組合法人甲津原営農組合,707084101,R05/11/01,R05/11/01,※飲食店営業,一般食堂,,R11/10/31,,,,
来夢キッチン,529-0527,長浜市余呉町東野６３９,,707086111,R05/09/29,R05/09/29,※菓子製造業,菓子製造,,R10/10/31,,,,
来夢キッチン,529-0527,長浜市余呉町東野６３９,,707086125,R05/11/01,R05/11/01,※そうざい製造業,そうざい製造,,R10/10/31,,,,
鳥中　長浜店,526-0831,長浜市宮司町１１４０－２,有限会社鳥中,707087101,R06/07/01,R06/07/01,※飲食店営業,そうざい屋,,R12/06/30,,,,
鳥中　長浜店,526-0831,長浜市宮司町１１４０－２,有限会社鳥中,707087103,R06/07/01,R06/07/01,※食肉販売業,鳥肉販売,獣肉販売,R12/06/30,とさつ・解体をしないこと,,,
株式会社フタバヤ　長浜店　盛付棟,526-0021,長浜市八幡中山町１０８７,株式会社フタバヤ,707088125,R05/07/01,R05/07/01,※そうざい製造業,そうざい製造,,R10/06/30,,,,
長浜市立湖北病院　及び　介護老人保健施設湖北やすらぎの里,529-0426,長浜市木之本町黒田１２２１,岐阜マルタマフーズ株式会社,707089101,R07/07/01,R07/07/01,※飲食店営業,給食,,R13/06/30,,,,
社会福祉法人滋賀県障害児協会　湖北タウンホーム,529-0102,長浜市月ケ瀬町５２５,株式会社ミールサービスたにぐち,707092101,R07/07/01,R07/07/01,※飲食店営業,給食,,R13/06/30,,,,
ファミリーマート長浜柳町店,526-0021,長浜市八幡中山町２８４－４,,707093101,R07/07/01,R07/07/01,※飲食店営業,そうざい屋,,R13/06/30,,,,
