許可番号,法人・団体名,施設名,業種,許可申請年月日,許可開始年月日,許可満了年月日,条件
117318-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　青果作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117319-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　青果カットフルーツ作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117319-11,株式会社平和堂,株式会社平和堂フレンドマート南郷店　青果カットフルーツ作業室,菓子製造業,2025/10/15,2025/10/30,2033/06/30,申請のあった取扱品目の製造に限る。
117320-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　鮮魚作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117320-04,株式会社平和堂,株式会社平和堂フレンドマート南郷店　鮮魚作業室,魚介類販売業,2025/10/15,2025/10/30,2033/06/30,
117321-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　鮮魚寿司作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117322-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　デリカベーカリー作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117322-11,株式会社平和堂,株式会社平和堂フレンドマート南郷店　デリカベーカリー作業室,菓子製造業,2025/10/15,2025/10/30,2033/06/30,申請のあった取扱品目の製造に限る。
117323-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　食肉製品作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117324-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　デリカ作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117324-11,株式会社平和堂,株式会社平和堂フレンドマート南郷店　デリカ作業室,菓子製造業,2025/10/15,2025/10/30,2033/06/30,申請のあった取扱品目の製造に限る。
117325-01,,パリのラーメン屋,飲食店営業,2025/10/17,2025/10/30,2032/06/30,
117326-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　デリカ寿司作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117326-11,株式会社平和堂,株式会社平和堂フレンドマート南郷店　デリカ寿司作業室,菓子製造業,2025/10/15,2025/10/30,2033/06/30,申請のあった取扱品目の製造に限る。
117327-01,,Ｃｒｅｐｅ　Ｗａｔｔｌｅ（滋賀８００す９０７０）,飲食店営業,2025/10/17,2025/10/23,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117333-01,,幸甚縁,飲食店営業,2025/10/20,2025/10/24,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
117335-01,,Ｒｉｖｅｒ　Ｓｉｄｅ　Ｉｎｎ　ＨＩＲＡ,飲食店営業,2025/10/20,2025/11/07,2032/10/31,住宅宿泊事業法施行規則第２条第１号に規定された家屋における営業に限る。食事の提供は宿泊者に限る。１回に提供する食事数は１０食以下に限る。調理従事者は住宅宿泊事業者又はその同居家族に限る。
117336-01,,コンさんの餃子,飲食店営業,2025/10/20,2025/10/24,2031/02/28,
117337-01,株式会社クスリのアオキ,クスリのアオキ大津堅田店（そうざい）,飲食店営業,2025/10/21,2025/11/10,2033/10/31,
117338-01,株式会社クスリのアオキ,クスリのアオキ大津堅田店,飲食店営業,2025/10/21,2025/11/10,2033/10/31,
117338-03,株式会社クスリのアオキ,クスリのアオキ大津堅田店,食肉販売業,2025/10/21,2025/11/10,2033/10/31,とさつ・解体は行わないこと。
117338-04,株式会社クスリのアオキ,クスリのアオキ大津堅田店,魚介類販売業,2025/10/21,2025/11/10,2033/10/31,
